2024-05-16 17:25:09,667.dgraves_emit_data.INFO ==================================================
2024-05-16 17:25:09,667.dgraves_emit_data.INFO Today is 2024-05-16 at 05:25 PM
2024-05-16 17:25:09,667.dgraves_emit_data.INFO Running on: nt Windows 11
2024-05-16 17:25:09,667.dgraves_emit_data.INFO Python version:  3.12.2
2024-05-16 17:25:09,667.dgraves_emit_data.INFO Python path: C:\Users\derek\AppData\Local\Programs\Python\Python312
2024-05-16 17:25:09,668.dgraves_emit_data.INFO Working dir: C:\Users\derek\OneDrive\Documents\Streaming Data\Week 3\streaming-03-bonus-dgraves
2024-05-16 17:25:09,668.dgraves_emit_data.INFO ==================================================
2024-05-16 17:25:09,678.dgraves_emit_data.INFO  [x] Sent ﻿_id,Scientific_Name,Common_Name,Date,Year,Month,Day,Time,Country,Country_State_County,State,County,Locality,Latitude,Longitude,Parent_Species,target_H5_HPAI
2024-05-16 17:25:11,879.dgraves_emit_data.INFO  [x] Sent 1,Acrocephalus scirpaceus,Eurasian Reed Warbler,2015-09-15T00:00:00,2015,9,15,1100,Ireland,IE-C-GY,Connaught,Galway,Inishmore (Inis M�r),53.1291,-9.7507,Acrocephalus scirpaceus,0
2024-05-16 17:25:13,541.dgraves_emit_data.INFO  [x] Sent 2,Acrocephalus scirpaceus,Eurasian Reed Warbler,2015-09-15T00:00:00,2015,9,15,1100,Ireland,IE-C-GY,Connaught,Galway,Inishmore (Inis M�r),53.1291,-9.7507,Acrocephalus scirpaceus,0
2024-05-16 17:25:15,603.dgraves_emit_data.INFO  [x] Sent 3,Limosa haemastica,Hudsonian Godwit,2015-09-15T00:00:00,2015,9,15,1100,Ireland,IE-C-GY,Connaught,Galway,Inishmore (Inis M�r),53.1291,-9.7507,Limosa haemastica,0
2024-05-16 17:25:17,150.dgraves_emit_data.INFO  [x] Sent 4,Limosa haemastica,Hudsonian Godwit,2015-09-15T00:00:00,2015,9,15,1100,Ireland,IE-C-GY,Connaught,Galway,Inishmore (Inis M�r),53.1291,-9.7507,Limosa haemastica,0
2024-05-16 17:25:18,171.dgraves_emit_data.INFO  [x] Sent 5,Limosa haemastica,Hudsonian Godwit,2015-09-15T00:00:00,2015,9,15,1100,Ireland,IE-C-GY,Connaught,Galway,Inishmore (Inis M�r),53.1291,-9.7507,Limosa haemastica,0
2024-05-16 17:25:19,195.dgraves_emit_data.INFO  [x] Sent 6,Muscicapa striata,Spotted Flycatcher,2015-09-15T00:00:00,2015,9,15,1100,Ireland,IE-C-GY,Connaught,Galway,Inishmore (Inis M�r),53.1291,-9.7507,Muscicapa striata,0
2024-05-16 17:25:21,728.dgraves_emit_data.INFO  [x] Sent 7,Larus canus,Mew Gull,2014-08-16T00:00:00,2014,8,16,930,Ireland,IE-M-KY,Munster,Kerry,Ring of Kerry.,52.0018,-10.1239,Larus canus,1
2024-05-16 17:25:24,208.dgraves_emit_data.INFO  [x] Sent 8,Corvus frugilegus,Rook,2014-08-16T00:00:00,2014,8,16,930,Ireland,IE-M-KY,Munster,Kerry,Ring of Kerry.,52.0018,-10.1239,Corvus frugilegus,0
2024-05-16 17:25:25,647.dgraves_emit_data.INFO  [x] Sent 9,Larus argentatus,Herring Gull,2014-08-17T00:00:00,2014,8,17,900,Ireland,IE-M-KY,Munster,Kerry,Dingle peninsula.,52.1773,-10.4411,Larus argentatus,0
2024-05-16 17:25:27,677.dgraves_emit_data.INFO  [x] Sent 10,Corvus frugilegus,Rook,2005-06-22T00:00:00,2005,6,22,1300,Ireland,IE-M-CE,Munster,Clare,Cliffs of Moher--Doolin,53.0089,-9.3916,Corvus frugilegus,0
2024-05-16 17:25:30,277.dgraves_emit_data.INFO  [x] Sent 11,Corvus monedula,Eurasian Jackdaw,2005-06-22T00:00:00,2005,6,22,1300,Ireland,IE-M-CE,Munster,Clare,Cliffs of Moher--Doolin,53.0089,-9.3916,Corvus monedula,0
2024-05-16 17:25:33,000.dgraves_emit_data.INFO  [x] Sent 12,Erithacus rubecula,European Robin,2005-06-23T00:00:00,2005,6,23,700,Ireland,IE-M-CE,Munster,Clare,Callagan's B & B,53.1336,-9.0747,Erithacus rubecula,0
2024-05-16 17:25:35,614.dgraves_emit_data.INFO  [x] Sent 13,Ardea cinerea,Gray Heron,2005-06-23T00:00:00,2005,6,23,700,Ireland,IE-M-CE,Munster,Clare,Callagan's B & B,53.1336,-9.0747,Ardea cinerea,1
2024-05-16 17:25:37,547.dgraves_emit_data.INFO  [x] Sent 14,Corvus monedula,Eurasian Jackdaw,2005-06-23T00:00:00,2005,6,23,700,Ireland,IE-M-CE,Munster,Clare,Callagan's B & B,53.1336,-9.0747,Corvus monedula,0
2024-05-16 17:25:40,226.dgraves_emit_data.INFO  [x] Sent 15,Cygnus olor,Mute Swan,2005-06-23T00:00:00,2005,6,23,900,Ireland,IE-M-CE,Munster,Clare,Ballyvaughan Harbour,53.1192,-9.1532,Cygnus olor,1
2024-05-16 17:25:42,865.dgraves_emit_data.INFO  [x] Sent 16,Ardea cinerea,Gray Heron,2005-06-23T00:00:00,2005,6,23,900,Ireland,IE-M-CE,Munster,Clare,Ballyvaughan Harbour,53.1192,-9.1532,Ardea cinerea,1
2024-05-16 17:25:45,274.dgraves_emit_data.INFO  [x] Sent 17,Cygnus olor,Mute Swan,2005-06-23T00:00:00,2005,6,23,900,Ireland,IE-M-CE,Munster,Clare,Ballyvaughan Harbour,53.1192,-9.1532,Cygnus olor,1
2024-05-16 17:25:46,546.dgraves_emit_data.INFO  [x] Sent 18,Alca torda,Razorbill,2005-06-23T00:00:00,2005,6,23,1430,Ireland,IE-M-CE,Munster,Clare,Cliffs of Moher--Doolin,53.0089,-9.3916,Alca torda,0
2024-05-16 17:25:48,960.dgraves_emit_data.INFO  [x] Sent 19,Motacilla cinerea,Gray Wagtail,2005-06-23T00:00:00,2005,6,23,700,Ireland,IE-M-CE,Munster,Clare,Callagan's B & B,53.1336,-9.0747,Motacilla cinerea,0
2024-05-16 17:25:51,755.dgraves_emit_data.INFO  [x] Sent 20,Motacilla alba,White Wagtail,2005-06-23T00:00:00,2005,6,23,700,Ireland,IE-M-CE,Munster,Clare,Callagan's B & B,53.1336,-9.0747,Motacilla alba,0
2024-05-16 17:25:54,224.dgraves_emit_data.INFO  [x] Sent 21,Erithacus rubecula,European Robin,2005-06-23T00:00:00,2005,6,23,700,Ireland,IE-M-CE,Munster,Clare,Callagan's B & B,53.1336,-9.0747,Erithacus rubecula,0
2024-05-16 17:25:56,021.dgraves_emit_data.INFO  [x] Sent 22,Corvus monedula,Eurasian Jackdaw,2005-07-05T00:00:00,2005,7,5,1000,Ireland,IE-M-KY,Munster,Kerry,Tarbert Estuary,52.578,-9.3668,Corvus monedula,0
2024-05-16 17:25:58,790.dgraves_emit_data.INFO  [x] Sent 23,Sterna hirundo,Common Tern,2005-07-05T00:00:00,2005,7,5,1000,Ireland,IE-M-KY,Munster,Kerry,Tarbert Estuary,52.578,-9.3668,Sterna hirundo,0
2024-05-16 17:26:01,122.dgraves_emit_data.INFO  [x] Sent 24,Sterna hirundo,Common Tern,2005-07-05T00:00:00,2005,7,5,1000,Ireland,IE-M-KY,Munster,Kerry,Tarbert Estuary,52.578,-9.3668,Sterna hirundo,0
2024-05-16 17:26:03,089.dgraves_emit_data.INFO  [x] Sent 25,Chroicocephalus ridibundus,Black-headed Gull,2005-07-05T00:00:00,2005,7,5,1000,Ireland,IE-M-KY,Munster,Kerry,Tarbert Estuary,52.578,-9.3668,Chroicocephalus ridibundus,1
2024-05-16 17:26:04,702.dgraves_emit_data.INFO  [x] Sent 26,Erithacus rubecula,European Robin,2005-06-28T00:00:00,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Erithacus rubecula,0
2024-05-16 17:26:07,539.dgraves_emit_data.INFO  [x] Sent 27,Regulus regulus,Goldcrest,2005-06-28T00:00:00,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Regulus regulus,0
2024-05-16 17:26:09,188.dgraves_emit_data.INFO  [x] Sent 28,Phasianus colchicus,Ring-necked Pheasant,2005-06-28T00:00:00,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Phasianus colchicus,0
2024-05-16 17:26:11,468.dgraves_emit_data.INFO  [x] Sent 29,Streptopelia decaocto,Eurasian Collared-Dove,2005-06-28T00:00:00,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Streptopelia decaocto,0
2024-05-16 17:26:12,760.dgraves_emit_data.INFO  [x] Sent 30,Corvus monedula,Eurasian Jackdaw,2005-06-28T00:00:00,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Corvus monedula,0
2024-05-16 17:26:14,514.dgraves_emit_data.INFO  [x] Sent 31,Muscicapa striata,Spotted Flycatcher,2005-06-28T00:00:00,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Muscicapa striata,0
2024-05-16 17:26:17,444.dgraves_emit_data.INFO  [x] Sent 32,Troglodytes troglodytes,Eurasian Wren,2005-06-28T00:00:00,2005,6,28,1600,Ireland,IE-L-WH,Leinster,Westmeath,Mornington House,53.6225,-7.3297,Troglodytes troglodytes,0
